"certified","forum.posts","grade","assignment"
"yes",120,5,13
"no",97,7,17
"yes",118,5,15
"no",26,3,13
"yes",114,5,14
"yes",9,2,5
"yes",178,5,9
"yes",120,7,14
"yes",158,4,5
"yes",82,3,12
"yes",26,6,16
"no",1,4,8
"yes",140,2,13
"yes",121,5,16
"yes",72,5,6
"no",130,4,3
"yes",131,5,3
"no",143,5,13
"yes",31,3,1
"yes",9,3,13
"no",42,2,16
"yes",22,4,12
"no",78,5,6
"no",2,5,8
"yes",118,3,10
"no",87,3,11
"yes",102,5,17
"no",72,4,13
"no",118,5,9
"yes",157,3,13
"yes",157,3,1
"yes",130,2,2
"yes",2,5,11
"yes",71,2,2
"no",1,3,13
"yes",26,3,12
"no",31,3,10
"yes",158,5,16
"no",20,5,13
"yes",61,6,13
"yes",151,3,6
"yes",136,3,11
"yes",118,3,1
"no",125,7,12
"yes",4,3,6
"yes",61,3,6
"yes",91,4,15
"yes",37,2,15
"no",42,5,1
"yes",131,4,16
"yes",2,3,16
"yes",120,4,12
"yes",9,4,13
"yes",168,2,12
"yes",8,5,12
"yes",80,4,16
"no",139,5,15
"no",59,5,13
"no",52,3,9
"no",2,2,16
"yes",87,7,12
"yes",1,4,14
"yes",97,4,18
"yes",9,3,1
"no",97,3,2
"no",159,3,8
"yes",140,2,17
"yes",11,7,16
"yes",1,3,14
"yes",9,9,13
"yes",31,3,1
"yes",1,5,9
"yes",121,2,16
"yes",18,3,6
"no",9,2,16
"yes",121,3,16
"yes",91,3,16
"yes",120,4,5
"yes",195,3,16
"yes",9,2,14
"yes",118,2,16
"no",128,7,10
"no",31,3,15
"no",68,2,12
"yes",120,3,13
"yes",140,3,3
"yes",91,6,10
"yes",143,3,6
"no",4,4,8
"yes",195,5,14
"yes",18,5,13
"yes",9,5,16
"yes",2,4,14
"yes",178,6,6
"yes",158,4,16
"yes",9,3,3
"yes",36,3,10
"yes",8,5,9
"yes",130,4,13
"no",105,2,14
"yes",42,4,16
"no",2,3,9
"yes",131,3,16
"no",8,4,10
"yes",59,2,16
"yes",18,2,15
"yes",61,2,10
"no",93,7,2
"yes",9,4,12
"yes",168,3,16
"no",158,4,16
"yes",37,5,10
"yes",97,5,13
"yes",80,2,10
"yes",71,4,16
"yes",73,3,2
"no",127,3,3
"yes",159,3,17
"yes",18,7,10
"no",148,3,13
"no",15,4,6
"yes",136,4,15
"yes",78,5,12
"yes",131,6,16
"yes",37,4,11
"yes",2,5,13
"yes",120,6,10
"yes",127,3,8
"yes",91,5,14
"no",114,4,6
"yes",80,3,3
"yes",9,2,18
"yes",18,3,16
"yes",158,9,16
"yes",20,7,1
"no",118,3,16
"yes",18,2,12
"yes",27,3,9
"yes",140,3,13
"yes",1,5,15
"yes",20,5,17
"yes",87,3,10
"yes",91,7,13
"no",1,5,14
"yes",159,5,14
"no",2,3,16
"yes",118,2,13
"no",4,3,9
"yes",81,4,16
"no",51,4,1
"no",127,5,15
"yes",78,3,16
"yes",51,10,16
"yes",9,3,9
"yes",120,3,6
"no",22,4,17
"yes",36,3,15
"no",31,7,3
"yes",15,4,8
"no",35,3,15
"yes",68,4,16
"yes",175,3,16
"yes",22,5,16
"yes",139,4,8
"no",168,3,13
"yes",114,2,17
"yes",93,6,17
"yes",4,4,6
"yes",118,3,1
"yes",140,3,16
"yes",9,2,9
"yes",27,3,16
"yes",113,3,16
"yes",139,3,13
"yes",36,4,17
"yes",1,3,13
"yes",195,3,13
"yes",52,5,15
"yes",140,4,16
"yes",82,3,14
"yes",37,3,16
"yes",195,5,13
"yes",17,7,17
"yes",125,5,1
"yes",158,2,16
"yes",159,4,10
"yes",118,2,16
"yes",35,6,12
"yes",73,3,16
"yes",120,3,1
"yes",37,4,15
"yes",143,5,13
"yes",139,2,6
"yes",128,9,14
"no",87,6,16
"yes",151,3,14
"no",37,4,14
"yes",125,5,10
"yes",158,7,1
"yes",177,6,15
"no",18,9,6
"yes",2,5,13
"yes",131,3,10
"yes",8,3,13
"no",140,3,5
"yes",177,3,14
"yes",120,5,14
"yes",120,10,12
"yes",140,5,14
"no",97,3,16
"yes",131,2,16
"yes",71,5,13
"yes",118,7,1
"yes",131,3,15
"no",120,4,2
"yes",17,5,9
"yes",9,3,6
"no",51,2,1
"yes",80,4,13
"no",8,2,12
"yes",158,4,14
"no",148,5,8
"yes",22,5,6
"yes",118,3,3
"no",1,3,12
"yes",139,9,5
"yes",118,5,14
"yes",131,3,16
"yes",1,2,16
"yes",120,5,16
"yes",82,4,11
"yes",177,3,1
"no",15,3,14
"yes",175,3,10
"no",178,3,13
"no",61,6,8
"yes",8,3,8
"yes",118,4,11
"yes",120,2,2
"yes",80,6,12
"no",2,7,16
"yes",2,3,6
"yes",18,3,16
"yes",130,5,15
"yes",140,3,9
"no",35,6,10
"yes",82,2,13
"yes",96,2,5
"no",72,2,17
"yes",15,3,16
"yes",20,3,13
"yes",121,4,9
"yes",112,5,1
"yes",195,4,15
"no",118,5,14
"yes",78,3,5
"yes",143,5,16
"no",61,4,9
"yes",118,2,16
"yes",113,5,16
"yes",61,6,13
"yes",120,2,16
"yes",102,2,13
"yes",140,6,17
"yes",177,5,9
"yes",158,5,14
"yes",159,4,16
"no",61,4,15
"no",11,2,16
"no",59,5,16
"no",78,7,12
"yes",195,6,13
"no",59,4,16
"no",136,3,13
"yes",177,2,17
"yes",71,5,16
"yes",37,3,17
"yes",118,4,15
"no",118,3,10
"yes",159,4,15
"yes",59,5,14
"yes",143,5,16
"yes",139,4,1
"yes",158,5,2
"yes",31,5,13
"yes",140,7,16
"yes",139,3,13
"yes",37,5,5
"yes",125,3,9
"no",140,3,16
"yes",100,7,16
"no",2,3,15
"yes",4,3,13
"yes",125,4,17
"yes",140,2,15
"yes",175,3,15
"no",93,7,15
"yes",73,4,13
"yes",105,3,17
"yes",127,4,6
"no",136,2,16
"no",61,4,8
"yes",140,6,3
"yes",36,4,9
"yes",80,10,16
"yes",36,2,6
"yes",127,2,16
"no",130,3,1
"yes",59,3,8
"yes",168,3,15
"yes",82,3,17
"yes",102,5,6
"yes",131,3,15
"yes",195,3,16
"yes",73,3,13
"yes",195,5,13
"no",130,4,15
"yes",71,2,13
"yes",157,5,3
"yes",93,4,13
"yes",136,7,15
"yes",151,3,13
"yes",52,7,9
"yes",105,5,18
"yes",118,3,16
"no",9,4,2
"yes",1,10,16
"yes",15,2,12
"yes",20,9,16
"yes",59,7,13
"yes",139,5,9
"no",35,5,13
"yes",128,3,12
"yes",121,4,15
"yes",15,4,5
"yes",139,2,10
"yes",206,2,16
"no",71,7,6
"yes",26,5,1
"yes",9,6,13
"yes",73,6,13
"yes",118,5,14
"yes",82,5,17
"no",158,4,2
"yes",120,4,15
"yes",9,10,6
"yes",18,2,13
"no",93,3,16
"yes",158,2,15
"yes",71,2,11
"yes",87,3,17
"yes",27,4,2
"yes",139,3,9
"no",168,4,14
"yes",158,3,16
"yes",80,6,5
"yes",1,7,5
"yes",80,5,5
"yes",61,2,15
"yes",15,5,15
"yes",130,5,12
"yes",78,10,8
"yes",139,4,13
"yes",120,3,6
"yes",131,2,16
"no",2,4,1
"no",120,3,14
"yes",195,3,13
"yes",2,4,16
"yes",120,3,5
"yes",1,2,3
"no",177,5,1
"yes",96,3,16
"no",1,5,10
"yes",140,4,9
"no",97,3,14
"yes",121,4,5
"yes",72,2,16
"yes",120,4,16
"no",71,3,14
"yes",143,3,6
"no",68,5,13
"yes",22,4,16
"yes",136,7,16
"no",114,5,15
"yes",120,3,16
"yes",121,2,13
"yes",71,4,3
"no",118,3,13
"yes",35,4,14
"yes",15,4,16
"yes",120,7,13
"yes",112,5,14
"yes",120,3,9
"no",102,2,12
"yes",139,4,2
"yes",27,4,10
"yes",72,3,16
"yes",127,3,6
"yes",15,2,13
"no",139,5,3
"no",1,5,6
"no",73,6,9
"yes",158,3,8
"no",158,3,18
"yes",136,7,2
"yes",131,4,16
"yes",93,3,5
"yes",87,3,16
"no",18,4,15
"yes",87,5,16
"yes",136,4,5
"yes",113,2,9
"yes",37,7,6
"no",26,4,3
"yes",131,4,6
"no",1,5,16
"yes",61,4,3
"no",1,3,5
"yes",136,3,15
"no",1,3,10
"yes",73,4,1
"yes",2,5,16
"no",177,4,9
"yes",130,2,6
"yes",18,4,8
"yes",168,3,5
"yes",2,3,14
"yes",72,3,15
"yes",20,3,18
"yes",158,5,16
"yes",148,5,3
"no",151,2,12
"yes",81,4,13
"yes",151,4,12
"yes",17,3,13
"yes",18,4,15
"no",206,2,1
"yes",114,5,12
"yes",8,3,9
"yes",87,5,10
"no",157,10,13
"no",61,7,16
"yes",157,3,17
"yes",91,5,11
"yes",87,3,16
"no",118,4,18
"no",136,3,9
"yes",105,3,13
"no",61,4,10
"no",15,7,10
"yes",148,5,1
"no",118,4,10
"yes",130,4,13
"yes",130,3,8
"yes",20,2,14
"yes",68,4,15
"yes",148,7,12
"yes",9,5,13
"yes",22,3,14
"yes",139,3,13
"yes",195,5,17
"no",131,4,15
"no",4,2,13
"yes",127,4,15
"no",52,3,9
"yes",100,3,16
"no",1,5,16
"no",102,5,8
"yes",120,2,9
"yes",31,5,12
"yes",97,3,1
"yes",80,4,11
"yes",4,6,16
"yes",18,7,15
"no",73,5,6
"yes",128,4,14
"no",120,5,12
"yes",59,5,12
"yes",158,3,16
"yes",9,4,1
"yes",17,2,13
"yes",15,9,15
"yes",4,2,15
"yes",157,9,18
"yes",4,3,11
"no",15,5,10
"yes",15,3,5
"yes",2,2,12
"no",175,2,16
"yes",42,6,15
"no",102,2,2
"yes",87,6,16
"yes",87,5,5
"no",175,3,3
"yes",118,3,14
"yes",1,3,13
"yes",151,5,1
"no",2,4,15
"no",148,4,14
"yes",61,5,1
"yes",87,3,12
"yes",96,2,14
"yes",68,5,16
"yes",100,7,14
"yes",93,4,3
"yes",1,3,13
"yes",118,6,1
"yes",78,3,16
"yes",121,3,10
"yes",131,5,11
"yes",130,4,5
"yes",177,4,16
"yes",120,4,9
"yes",113,5,16
"no",131,2,2
"yes",151,4,13
"no",73,4,6
"yes",130,7,11
"yes",151,4,6
"yes",4,2,6
"no",118,5,16
"yes",1,4,16
"yes",1,4,2
"no",159,7,13
"yes",15,3,1
"yes",8,5,16
"yes",139,4,13
"yes",1,7,15
"yes",102,6,10
"yes",61,2,1
"yes",31,5,13
"yes",36,2,6
"no",68,5,16
"yes",97,3,8
"yes",82,4,15
"yes",136,3,5
"yes",131,5,12
"yes",136,5,1
"yes",80,3,13
"no",51,5,10
"no",177,7,1
"yes",159,3,11
"yes",18,4,11
"yes",87,5,17
"yes",1,4,9
"yes",177,2,14
"no",52,3,9
"yes",2,4,14
"no",125,4,16
"yes",80,5,15
"yes",131,4,9
"yes",158,3,6
"no",1,4,17
"yes",31,2,13
"yes",93,3,16
"yes",127,4,13
"yes",72,5,16
"yes",17,4,12
"yes",112,3,11
"yes",18,5,13
"yes",2,7,10
"yes",97,3,16
"yes",81,3,13
"yes",61,4,16
"yes",105,10,13
"no",120,4,1
"yes",26,5,14
"yes",100,4,16
"yes",100,2,9
"no",36,7,3
"yes",8,5,16
"yes",206,4,10
"yes",140,3,16
"yes",120,4,6
"yes",159,5,13
"yes",118,3,15
"no",102,7,5
"yes",151,3,9
"yes",31,3,16
"yes",80,3,13
"yes",195,2,16
"yes",68,4,16
"yes",120,5,15
"yes",2,6,13
"no",36,5,12
"no",42,10,6
"yes",11,6,13
"yes",80,5,12
"yes",158,2,1
"no",72,4,13
"yes",158,4,13
"no",157,3,3
"no",11,4,14
"yes",118,3,13
"no",61,3,1
"yes",118,3,15
"no",112,4,15
"yes",11,2,1
"yes",139,3,16
"no",87,2,14
"yes",61,2,1
"yes",8,3,13
"yes",139,4,12
"no",105,2,13
"yes",114,4,9
"yes",2,6,6
"yes",4,2,5
"yes",37,3,13
"yes",1,7,16
"yes",26,10,13
"yes",178,3,15
"yes",18,4,14
"yes",9,3,17
"no",131,7,12
"yes",131,3,16
"yes",151,2,13
"yes",100,2,1
"yes",73,5,16
"yes",81,6,9
"yes",68,4,13
"no",26,7,16
"yes",118,3,10
"yes",72,3,14
"yes",102,4,1
"yes",17,4,15
"no",81,4,13
"no",37,7,16
"yes",8,5,14
"yes",78,4,9
"yes",130,7,13
"yes",100,3,12
"no",26,2,16
"no",61,4,15
"yes",114,5,13
"yes",206,5,1
"yes",112,2,11
"yes",102,2,16
"no",195,3,16
"yes",175,3,15
"yes",168,3,10
"yes",2,7,15
"yes",18,2,1
"yes",130,2,10
"yes",1,3,6
"yes",35,5,12
"yes",52,5,16
"yes",140,4,16
"no",36,2,15
"yes",26,3,10
"yes",91,4,16
"yes",35,4,17
"yes",131,3,9
"yes",130,7,14
"no",157,4,1
"yes",2,3,9
"yes",2,2,16
"yes",159,2,15
"yes",140,2,17
"yes",9,2,16
"yes",61,5,13
"yes",93,4,17
"no",105,2,1
"yes",52,4,16
"yes",125,7,8
"yes",105,2,15
"yes",20,2,6
"no",93,2,13
"yes",120,5,12
"yes",9,4,16
"yes",128,3,1
"yes",139,5,10
"yes",114,3,15
"yes",113,4,2
"no",31,3,13
"yes",73,3,1
"no",113,7,13
"yes",4,2,12
"yes",114,6,13
"no",177,4,1
"yes",113,3,13
"yes",151,4,14
"yes",120,7,13
"yes",102,3,11
"yes",78,5,12
"yes",120,5,3
"yes",118,4,12
"no",42,7,17
"yes",177,5,10
"yes",1,6,10
"yes",125,3,13
"no",130,5,16
"yes",130,4,13
"yes",112,2,6
"yes",20,3,15
"yes",87,7,15
"yes",93,2,15
"yes",112,2,15
"yes",136,4,16
"yes",131,3,16
"yes",100,2,14
"yes",139,3,14
"yes",9,2,15
"yes",139,6,15
"no",26,4,16
"yes",175,2,8
"yes",61,2,16
"yes",20,5,13
"yes",1,4,10
"yes",68,3,14
"yes",78,3,14
"yes",61,3,16
"no",35,4,1
"yes",80,4,15
"yes",81,2,6
"yes",31,3,13
"yes",93,4,15
"no",42,7,16
"yes",87,2,10
"no",151,4,10
"no",1,5,9
"yes",206,2,14
"no",93,6,6
"yes",97,3,16
"yes",159,3,16
"yes",51,4,12
"no",158,4,1
"no",177,4,17
"yes",11,3,16
"yes",148,3,17
"no",168,5,2
"no",175,5,1
"yes",80,5,17
"yes",113,7,10
"yes",1,4,17
"yes",52,4,9
"yes",139,3,10
"yes",158,9,9
"yes",118,6,3
"yes",121,5,12
"yes",4,7,16
"yes",87,4,16
"yes",9,7,13
"yes",143,7,13
"yes",177,3,1
"yes",18,6,16
"yes",78,3,14
"yes",37,7,3
"yes",140,3,18
"yes",96,5,13
"yes",17,3,5
"yes",35,10,13
"yes",73,3,5
"no",114,7,9
"yes",157,3,16
"yes",139,4,10
"yes",120,5,5
"yes",178,7,9
"yes",1,5,16
"yes",1,5,17
"yes",158,3,17
"no",148,7,9
"yes",18,3,14
"yes",168,4,16
"yes",17,5,18
"yes",131,4,6
"yes",1,2,14
"no",2,5,10
"yes",139,2,16
"yes",82,3,16
"yes",9,2,15
"yes",140,4,17
"yes",96,3,1
"yes",127,3,3
"yes",18,4,6
"yes",136,2,10
"yes",97,5,16
"yes",27,5,14
"yes",31,5,13
"yes",20,3,6
"yes",80,5,16
"no",121,4,13
"yes",61,6,16
"yes",97,5,13
"yes",36,4,14
"yes",27,2,16
"yes",97,2,16
"yes",1,6,11
"yes",1,3,16
"yes",125,4,13
"yes",195,7,5
"yes",1,7,10
"yes",35,3,16
"yes",22,3,16
"yes",71,4,12
"yes",114,2,8
"yes",51,4,11
"yes",1,6,11
"yes",11,2,13
"no",93,5,13
"no",120,5,11
"yes",206,3,9
"yes",1,5,17
"yes",61,3,16
"yes",27,4,16
"yes",151,3,15
"yes",82,3,1
"yes",112,4,13
"yes",1,3,10
"yes",52,7,18
"yes",91,2,16
"yes",1,4,13
"yes",11,5,1
"yes",157,4,12
"yes",52,3,14
"yes",148,4,8
"yes",114,3,17
"no",148,4,11
"yes",82,2,6
"yes",20,3,10
"yes",81,5,10
"yes",31,4,13
"yes",18,3,11
"yes",87,5,14
"yes",8,5,9
"no",140,5,16
"yes",2,10,16
"yes",128,5,10
"no",81,7,14
"yes",9,6,13
"yes",131,7,2
"yes",11,6,1
"no",68,2,13
"yes",68,5,9
"yes",20,2,6
"yes",11,5,5
"yes",128,2,15
"yes",206,4,14
"yes",143,7,15
"yes",131,2,16
"yes",81,4,10
"yes",178,2,2
"yes",4,3,3
"yes",128,3,15
"yes",96,4,13
"yes",61,2,3
"no",112,5,13
"yes",105,2,12
"yes",2,4,13
"yes",157,4,10
"yes",195,3,14
"yes",22,2,15
"yes",2,6,14
"yes",11,2,15
"yes",59,5,1
"yes",22,4,5
"yes",1,2,12
"yes",78,5,16
"yes",35,4,16
"no",118,2,10
"yes",36,2,16
"yes",80,3,9
"yes",80,5,16
"yes",118,4,15
"yes",100,9,15
"yes",82,4,13
"yes",35,3,16
"yes",73,5,9
"yes",131,3,11
"no",177,2,18
"no",22,5,10
"yes",20,5,16
"no",80,3,16
"yes",8,2,15
"no",22,2,13
"yes",168,3,13
"yes",35,3,16
"yes",36,3,5
"yes",97,3,10
"yes",51,7,8
"yes",100,2,16
"yes",206,4,6
"yes",131,7,16
"yes",96,4,1
"yes",1,2,16
"yes",72,2,15
"yes",131,2,13
"yes",20,5,11
"yes",37,2,16
"yes",143,5,14
"no",73,3,13
"yes",8,2,12
"yes",102,7,10
"yes",26,2,11
"yes",1,2,16
"no",93,3,13
"yes",100,4,12
"no",157,5,13
"no",96,7,16
"yes",102,4,10
"yes",140,3,8
"no",114,4,11
"yes",140,3,9
"yes",143,5,13
"yes",140,2,1
"yes",125,7,10
"no",139,4,16
"yes",121,5,11
"yes",1,2,5
"no",68,4,17
"yes",26,3,17
"yes",87,3,13
"no",93,5,16
"yes",35,2,16
"yes",143,2,10
"no",36,2,16
"yes",1,2,15
"yes",151,3,10
"yes",4,3,17
"yes",27,5,1
"yes",8,4,16
"yes",2,3,16
"yes",130,2,10
"yes",120,2,3
"yes",1,2,3
"yes",1,2,16
"no",2,4,16
"yes",140,5,16
"yes",125,3,12
"yes",78,4,13
"no",15,7,14
"yes",206,2,10
"yes",178,3,9
"yes",121,2,3
"yes",93,3,9
"yes",15,6,13
"yes",31,3,1
"yes",175,3,6
"yes",2,2,13
"yes",8,4,12
"yes",140,5,6
"yes",27,3,16
"yes",139,4,11
"no",22,3,18
"yes",112,4,17
"no",140,4,15
"yes",61,5,12
"yes",1,3,6
"no",130,4,13
"yes",4,3,10
"yes",100,5,16
"yes",1,3,6
"yes",87,5,12
"yes",121,5,14
"yes",118,4,6
"no",15,6,15
"yes",195,4,10
"no",27,4,6
"yes",130,3,1
"yes",61,7,17
"yes",125,4,17
"no",130,6,11
"yes",9,3,3
"yes",136,4,1
"yes",61,7,12
"yes",140,2,9
"yes",15,3,16
"yes",96,4,5
"yes",140,5,14
"yes",158,3,11
"yes",22,5,8
"yes",127,2,13
"yes",159,4,12
"yes",128,5,5
"yes",131,4,15
"yes",61,5,16
"yes",81,2,13
"yes",4,3,17
"yes",131,3,5
"no",178,3,1
"yes",143,5,13
"yes",15,4,16
"yes",4,3,14
"yes",139,7,13
"yes",112,2,1
"no",143,2,1
"yes",20,2,9
"yes",113,3,8
"yes",139,2,15
"no",136,5,13
"no",158,4,13
"yes",82,3,13
"no",195,3,17
"yes",4,3,13
"no",112,3,13
"yes",87,3,16
"yes",114,5,3
"yes",26,3,11
"yes",73,4,14
"yes",136,2,15
"yes",131,10,8
"yes",4,4,5
"yes",51,3,1
"yes",20,4,5
"yes",131,5,13
"yes",112,4,10
"yes",125,2,13
"yes",87,3,13
"no",195,6,6
"yes",105,4,6
"yes",80,4,16
"yes",15,2,17
"yes",131,6,17
"yes",112,6,8
"no",36,2,2
"yes",125,5,12
"yes",151,7,11
"yes",1,5,16
"yes",130,3,12
"yes",35,2,3
"yes",140,2,10
"yes",82,2,10
"yes",175,3,10
"yes",59,3,5
"yes",159,2,1
"yes",73,2,13
"no",112,4,16
"yes",82,10,16
"yes",4,4,13
"yes",18,6,16
"yes",31,4,16
"yes",2,5,16
"no",206,4,10
"yes",81,3,16
"yes",168,3,17
"yes",82,3,10
"yes",35,3,10
"yes",1,5,1
"yes",151,3,16
"yes",80,3,2
"yes",71,2,12
"yes",91,3,16
"yes",157,3,16
"yes",68,3,5
"yes",114,5,17
"yes",18,4,2
"no",71,5,11
"yes",1,7,13
"yes",52,5,15
"yes",139,3,1
"yes",159,4,14
"yes",4,2,17
"yes",2,3,3
"no",157,4,9
"yes",112,5,14
"yes",37,3,16
"no",9,5,16
"yes",177,5,16
"no",118,4,13
"yes",1,5,16
"yes",120,3,12
"yes",73,5,13
"yes",52,4,14
"yes",11,3,13
"yes",35,3,13
"yes",59,3,10
"yes",175,5,12
"yes",2,5,16
"yes",148,5,13
"yes",97,4,10
"yes",37,2,13
"yes",72,4,13
"yes",128,3,16
"no",8,4,16
"yes",151,2,16
"yes",31,3,5
"yes",131,2,10
"yes",71,7,10
"no",9,5,11
"yes",37,2,16
"yes",128,5,16
"yes",1,5,6
"yes",118,3,12
"yes",118,7,11
"yes",18,3,2
"yes",139,4,15
"yes",36,3,15
"yes",158,4,16
"yes",120,2,13
"yes",168,7,16
"yes",139,6,15
"yes",195,3,12
"yes",128,5,16
"yes",73,10,13
"yes",35,3,9
"yes",37,4,16
"yes",175,3,1
"yes",91,2,13
"yes",127,2,6
"no",96,2,11
"no",139,6,16
"yes",131,6,16
"yes",51,10,16
"yes",15,4,13
"yes",4,2,9
"yes",131,3,1
"yes",151,2,9
"yes",148,4,15
"yes",178,3,16
"no",125,4,2
"yes",80,2,16
"yes",131,5,14
"no",52,5,13
"yes",18,4,16
"yes",159,4,15
"no",100,2,3
"yes",159,4,16
"yes",195,4,6
"yes",71,4,16
"yes",206,3,16
"no",102,4,16
"no",15,5,9
"yes",78,3,1
"yes",143,3,11
"yes",2,3,9
"yes",168,3,13
"yes",52,6,13
"yes",91,5,13
"no",157,5,6
"yes",140,4,12
"yes",175,2,11
"no",11,2,16
"no",68,4,1
"no",118,6,15
"yes",125,5,6
"yes",52,5,16
"no",36,3,11
"yes",9,2,13
"yes",121,3,16
"yes",130,2,14
"yes",35,3,9
"yes",151,5,12
"yes",139,4,9
"yes",151,5,1
"yes",131,6,13
"yes",113,5,15
"yes",139,3,11
"yes",125,10,16
"yes",102,5,16
"yes",18,7,11
"yes",100,4,10
"yes",121,5,6
"yes",206,3,14
"yes",178,2,16
"yes",102,4,16
"yes",130,5,6
"yes",72,3,16
"yes",37,7,6
"yes",96,5,15
"no",18,3,15
"yes",130,2,13
"no",35,3,14
"no",4,3,1
"yes",102,5,13
"yes",151,4,16
"yes",136,4,15
"yes",102,4,13
"yes",15,5,13
"yes",120,5,16
"yes",157,4,16
"yes",17,3,6
"yes",148,4,16
"yes",80,3,16
"yes",61,5,2
"yes",143,4,13
"yes",140,4,12
"yes",80,10,13
"no",42,4,10
"yes",157,7,13
"yes",125,5,13
"yes",118,5,1
"yes",168,7,13
"yes",118,9,16
"no",18,3,17
"yes",105,10,13
"yes",97,5,6
"yes",42,5,12
"yes",139,3,16
"yes",120,4,16
"yes",52,7,13
"yes",127,4,12
"yes",1,3,18
"no",1,3,6
"yes",1,4,13
"yes",157,3,15
"yes",93,5,6
"no",1,5,15
"yes",22,3,15
"yes",15,3,14
"yes",78,6,10
"yes",100,5,10
"yes",118,2,1
"no",82,7,16
"yes",51,6,13
"yes",1,4,16
"yes",81,5,2
"yes",128,4,11
"yes",18,3,13
"yes",61,4,16
"yes",81,4,15
"yes",26,3,8
"yes",1,7,1
"yes",81,4,16
"yes",9,4,1
"no",1,5,15
"yes",81,3,5
"yes",81,3,13
"yes",52,2,13
"yes",87,5,16
"no",131,3,5
"yes",2,9,3
"yes",27,7,12
"yes",177,3,3
"yes",93,2,15
"yes",51,4,16
"yes",68,6,6
"no",91,6,18
"no",120,3,14
"no",1,5,17
"yes",52,4,14
"yes",118,3,12
"yes",136,3,12
"yes",2,5,15
"yes",128,4,10
"yes",139,3,16
"yes",178,3,16
"yes",148,4,17
"no",71,5,15
"no",15,4,12
"yes",100,5,16
"yes",61,2,5
"yes",11,5,15
"no",118,5,13
"yes",130,3,16
"no",27,4,17
"yes",114,9,13
"yes",206,5,15
"yes",2,4,16
"yes",112,2,5
"no",59,4,1
"no",112,7,15
"yes",17,3,10
"yes",42,5,9
"no",42,3,1
"yes",4,5,17
"yes",140,2,3
"no",72,5,16
"yes",31,6,13
"no",178,2,13
"no",42,5,2
"yes",157,4,14
"yes",127,6,13
"yes",159,6,17
"yes",96,3,6
"yes",78,4,5
"yes",78,2,2
"no",52,6,17
"yes",71,4,13
"yes",78,3,16
"yes",136,5,15
"yes",37,3,13
"yes",71,3,16
"yes",93,5,15
"no",18,3,16
"no",139,3,13
"yes",37,3,14
"yes",97,3,2
"no",140,5,3
"no",8,4,8
"yes",52,3,1
"yes",93,2,16
"yes",97,3,16
"yes",31,6,15
"yes",17,4,3
"yes",78,3,11
"yes",112,4,3
"yes",8,3,16
"yes",37,4,16
"yes",151,3,16
"yes",4,2,6
"no",18,6,13
"no",87,6,10
"yes",121,4,16
"yes",120,7,16
"yes",130,4,13
"yes",18,4,16
"no",159,3,9
"yes",140,2,9
"no",114,4,11
"yes",68,5,15
"yes",68,3,9
"yes",37,3,1
"yes",125,2,6
"yes",4,2,8
"yes",102,7,10
"yes",128,4,15
"yes",118,5,12
"yes",151,3,16
"yes",105,3,10
"yes",140,4,11
"no",100,3,17
"yes",72,10,6
"yes",9,9,6
"yes",18,7,15
"yes",18,7,13
"no",73,2,10
"yes",1,3,16
"yes",59,3,5
"no",114,4,10
"yes",121,4,16
"no",81,5,11
"no",26,3,17
"yes",140,2,9
"yes",100,5,9
"yes",130,2,15
"yes",158,2,13
"yes",9,3,6
"yes",131,4,16
"yes",112,10,16
"no",9,2,16
"no",97,5,13
"yes",130,4,1
"yes",1,4,3
"yes",59,9,5
"no",118,9,15
"yes",1,5,16
"yes",22,2,1
"yes",158,3,13
"no",112,5,2
"yes",27,5,3
"yes",102,5,3
"yes",177,4,16
"yes",35,3,17
"yes",139,6,2
"no",68,2,12
"yes",100,3,5
"yes",91,2,13
"no",37,5,18
"yes",59,2,17
"yes",175,3,12
"no",195,4,10
"yes",125,4,10
"yes",158,3,16
"yes",1,4,6
"yes",177,5,13
"yes",80,5,5
"yes",121,4,9
"yes",9,3,16
"yes",78,5,15
"yes",159,3,14
"yes",17,3,5
"yes",20,4,9
"yes",1,2,15
"yes",112,3,10
"no",2,3,13
"yes",80,4,14
"yes",125,2,15
"yes",158,4,18
"yes",1,4,12
"yes",139,7,16
"yes",72,7,1
"yes",2,5,13
"yes",68,4,16
"no",168,4,16
"yes",81,2,9
"yes",18,7,13
"no",131,4,2
"yes",1,5,12
"yes",1,6,13
"no",1,3,1
"yes",113,3,6
"yes",175,7,13
"yes",140,5,17
"yes",140,4,15
"yes",68,10,16
"yes",71,5,3
"yes",82,4,6
"yes",18,5,1
"yes",114,3,16
"yes",140,4,2
"no",82,3,8
"yes",17,3,9
"yes",105,7,13
"yes",158,3,17
"yes",15,9,1
"yes",130,7,16
"yes",120,3,16
"yes",37,7,16
"no",130,2,8
"no",121,3,10
"yes",87,7,9
"yes",26,5,3
"no",82,5,8
"no",112,4,16
"yes",20,4,3
"yes",127,3,15
"yes",97,4,13
"yes",9,2,17
"yes",140,3,2
"yes",140,4,1
"yes",68,2,13
"yes",80,2,15
"yes",4,4,13
"yes",127,3,13
"yes",131,4,6
"yes",61,4,13
"no",73,4,5
"yes",140,5,14
"no",131,4,15
"yes",68,9,16
"yes",158,5,15
"yes",93,3,16
"yes",148,2,11
"yes",177,2,1
"yes",130,5,6
"yes",91,3,12
"yes",17,9,5
